date,bitcoin
2015-08-04,68.88
2015-08-05,65.25
2015-08-06,62.208333333333336
2015-08-07,60.041666666666664
2015-08-08,59.5
2015-08-09,61.541666666666664
2015-08-10,60.791666666666664
2015-08-11,70.4
2015-08-12,70.625
2015-08-13,73.66666666666667
2015-08-14,66.91666666666667
2015-08-15,66.79166666666667
2015-08-16,70.70833333333333
2015-08-17,71.75
2015-08-18,55.52
2015-08-19,70.66666666666667
2015-08-20,60.0
2015-08-21,56.0
2015-08-22,50.416666666666664
2015-08-23,53.166666666666664
2015-08-24,62.791666666666664
2015-08-25,78.36
2015-08-26,69.0
2015-08-27,61.0
2015-08-28,57.125
2015-08-29,56.416666666666664
2015-08-30,58.666666666666664
2015-08-31,57.666666666666664
2015-09-01,72.0
2015-09-02,70.66666666666667
2015-09-03,66.83333333333333
2015-09-04,65.125
2015-09-05,61.666666666666664
2015-09-06,64.91666666666667
2015-09-07,66.25
2015-09-08,64.96
2015-09-09,62.625
2015-09-10,61.875
2015-09-11,61.708333333333336
2015-09-12,60.166666666666664
2015-09-13,61.416666666666664
2015-09-14,64.83333333333333
2015-09-15,72.0
2015-09-16,72.0
2015-09-17,72.45833333333333
2015-09-18,77.45833333333333
2015-09-19,70.625
2015-09-20,67.875
2015-09-21,71.33333333333333
2015-09-22,78.52
2015-09-23,75.54166666666667
2015-09-24,70.79166666666667
2015-09-25,73.375
2015-09-26,67.58333333333333
2015-09-27,65.70833333333333
2015-09-28,68.875
2015-09-29,72.0
2015-09-30,68.91666666666667
2015-10-01,66.83333333333333
2015-10-02,64.625
2015-10-03,63.791666666666664
2015-10-04,65.70833333333333
2015-10-05,71.16666666666667
2015-10-06,66.52
2015-10-07,64.04166666666667
2015-10-08,63.375
2015-10-09,59.208333333333336
2015-10-10,58.583333333333336
2015-10-11,56.833333333333336
2015-10-12,61.375
2015-10-13,58.0
2015-10-14,56.666666666666664
2015-10-15,58.833333333333336
2015-10-16,59.041666666666664
2015-10-17,60.583333333333336
2015-10-18,56.791666666666664
2015-10-19,58.208333333333336
2015-10-20,58.72
2015-10-21,53.833333333333336
2015-10-22,60.125
2015-10-23,56.333333333333336
2015-10-24,50.916666666666664
2015-10-25,58.708333333333336
2015-10-26,57.5
2015-10-27,29.92
2015-10-28,30.041666666666668
2015-10-29,32.875
2015-10-30,36.458333333333336
2015-10-31,29.625
2015-11-01,32.75
2015-11-02,37.541666666666664
2015-11-03,57.08
2015-11-04,80.33333333333333
2015-11-05,68.83333333333333
2015-11-06,50.25
2015-11-07,39.666666666666664
2015-11-08,35.25
2015-11-09,39.041666666666664
2015-11-10,64.64
2015-11-11,68.16666666666667
2015-11-12,61.5
2015-11-13,56.958333333333336
2015-11-14,47.666666666666664
2015-11-15,50.041666666666664
2015-11-16,54.291666666666664
2015-11-17,51.76
2015-11-18,50.25
2015-11-19,52.5
2015-11-20,51.833333333333336
2015-11-21,50.791666666666664
2015-11-22,45.833333333333336
2015-11-23,49.375
2015-11-24,53.92
2015-11-25,49.333333333333336
2015-11-26,56.416666666666664
2015-11-27,52.291666666666664
2015-11-28,51.416666666666664
2015-11-29,50.708333333333336
2015-11-30,58.333333333333336
2015-12-01,84.4
2015-12-02,78.41666666666667
2015-12-03,75.58333333333333
2015-12-04,71.0
2015-12-05,72.79166666666667
2015-12-06,79.875
2015-12-07,80.5
2015-12-08,40.44
2015-12-09,84.5
2015-12-10,57.166666666666664
2015-12-11,45.416666666666664
2015-12-12,42.25
2015-12-13,36.708333333333336
2015-12-14,37.208333333333336
2015-12-15,68.28
2015-12-16,70.20833333333333
2015-12-17,65.04166666666667
2015-12-18,62.5
2015-12-19,59.875
2015-12-20,59.458333333333336
2015-12-21,61.5
2015-12-22,73.04
2015-12-23,76.125
2015-12-24,77.04166666666667
2015-12-25,69.95833333333333
2015-12-26,75.08333333333333
2015-12-27,74.125
2015-12-28,74.29166666666667
2015-12-29,77.56
2015-12-30,74.91666666666667
2015-12-31,69.0
2016-01-01,66.16666666666667
2016-01-02,73.45833333333333
2016-01-03,76.66666666666667
2016-01-04,78.54166666666667
2016-01-05,58.4
2016-01-06,57.5
2016-01-07,66.95833333333333
2016-01-08,65.75
2016-01-09,58.375
2016-01-10,51.291666666666664
2016-01-11,46.833333333333336
2016-01-12,49.36
2016-01-13,51.041666666666664
2016-01-14,49.25
2016-01-15,69.54166666666667
2016-01-16,71.33333333333333
2016-01-17,59.916666666666664
2016-01-18,59.125
2016-01-19,78.84
2016-01-20,83.04166666666667
2016-01-21,79.79166666666667
2016-01-22,74.29166666666667
2016-01-23,67.79166666666667
2016-01-24,66.91666666666667
2016-01-25,68.45833333333333
2016-01-26,82.4
2016-01-27,83.625
2016-01-28,82.45833333333333
2016-01-29,80.66666666666667
2016-01-30,74.5
2016-01-31,74.625
2016-02-01,78.79166666666667
2016-02-02,71.12
2016-02-03,71.29166666666667
2016-02-04,72.04166666666667
